                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.1714,                0.87955,                 1.5409,                0.83047,                0.66931,                0.69557,                0.45994,                 1.4162,                 1.0304,                 1.7352,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.1071,                0.84988,                 1.5446,                0.83629,                0.71527,                0.72639,                0.48126,                 1.3962,                0.99228,                  1.706,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.1298,                0.84816,                 1.5225,                0.82826,                0.68791,                0.72038,                0.50046,                 1.2443,                0.95835,                   1.64,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.1482,                0.82939,                  1.535,                0.67855,                0.75839,                0.72994,                0.48573,                 1.3467,                0.88705,                 1.6882,             0.00060139,             0.00060139,             0.00060139
                    120,                 1.1167,                0.83538,                 1.5101,                0.80526,                0.65466,                0.69123,                  0.482,                 1.3205,                0.83435,                  1.656,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.0996,                0.82741,                 1.5038,                0.67829,                0.77121,                0.72506,                0.49674,                 1.3042,                0.85418,                 1.6428,             0.00058725,             0.00058725,             0.00058725
                    122,                  1.077,                0.82544,                 1.4752,                0.83007,                0.71527,                0.74699,                0.48687,                  1.357,                0.91939,                 1.6939,             0.00058017,             0.00058017,             0.00058017
                    123,                 1.0958,                0.83581,                 1.5219,                0.81399,                0.72567,                0.74826,                0.49297,                 1.3552,                0.90835,                 1.7282,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.1022,                0.80842,                  1.482,                0.83105,                0.69767,                 0.7092,                 0.4755,                 1.3841,                 0.9442,                  1.743,             0.00056603,             0.00056603,             0.00056603
                    125,                 1.0948,                0.79644,                 1.5029,                0.82694,                0.69618,                0.68968,                 0.4802,                 1.3314,                0.97212,                 1.6854,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.0966,                0.82558,                 1.4878,                0.91606,                0.72397,                0.74293,                0.51001,                 1.2676,                0.94103,                 1.6131,             0.00055188,             0.00055188,             0.00055188
                    127,                 1.1091,                0.79053,                 1.5067,                0.78059,                 0.6639,                  0.686,                0.49217,                 1.2612,                 1.0326,                 1.6167,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.0786,                0.78663,                 1.4483,                0.91417,                0.65466,                0.70234,                 0.5036,                 1.2242,                0.94229,                 1.6305,             0.00053773,             0.00053773,             0.00053773
                    129,                 1.1009,                0.82351,                 1.4988,                 0.8329,                0.68043,                0.71733,                 0.5112,                 1.3112,                0.89509,                 1.6825,             0.00053066,             0.00053066,             0.00053066
                    130,                  1.045,                0.80253,                 1.4595,                0.74935,                0.77121,                0.74429,                0.50549,                 1.2973,                0.88916,                 1.6392,             0.00052359,             0.00052359,             0.00052359
                    131,                 1.1159,                 0.7785,                 1.5045,                0.82631,                0.68497,                0.72166,                0.49784,                 1.3313,                0.96011,                 1.6712,             0.00051651,             0.00051651,             0.00051651
                    132,                 1.1229,                0.79032,                 1.4756,                0.80432,                0.73216,                 0.7679,                0.51325,                 1.2954,                0.93734,                   1.66,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.0581,                0.76383,                  1.447,                 0.7044,                0.75839,                0.71572,                0.49441,                 1.2953,                0.90331,                 1.6769,             0.00050236,             0.00050236,             0.00050236
                    134,                 1.0728,                 0.7908,                 1.4716,                0.73379,                0.77813,                0.73313,                0.50428,                 1.2545,                0.87921,                  1.615,             0.00049529,             0.00049529,             0.00049529
                    135,                 1.0676,                0.77774,                 1.4702,                0.79006,                0.77121,                0.77319,                0.49547,                  1.362,                0.94239,                 1.6665,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.0909,                0.79133,                 1.4727,                0.66911,                0.77431,                0.73977,                0.51115,                 1.3174,                0.92042,                 1.6059,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.0555,                0.76257,                 1.4391,                0.76575,                0.69779,                0.71685,                0.49787,                 1.2414,                0.89807,                 1.5692,             0.00047407,             0.00047407,             0.00047407
                    138,                 1.0369,                0.74014,                 1.4367,                0.85357,                0.66482,                 0.7056,                0.50727,                 1.2539,                0.96135,                 1.6031,               0.000467,               0.000467,               0.000467
                    139,                 1.0455,                0.74497,                 1.4211,                0.80479,                0.69779,                0.72914,                0.49987,                  1.342,                0.95772,                 1.6975,             0.00045992,             0.00045992,             0.00045992
                    140,                 1.0252,                0.73188,                 1.4242,                0.94261,                0.72809,                0.76611,                0.53307,                 1.3057,                0.95797,                 1.6767,             0.00045285,             0.00045285,             0.00045285
                    141,                 1.0255,                0.73144,                 1.4158,                  0.873,                0.73777,                0.75519,                0.53189,                 1.2764,                0.91546,                 1.6393,             0.00044578,             0.00044578,             0.00044578
                    142,                0.99862,                0.72722,                  1.415,                0.81198,                0.70613,                0.73488,                0.52228,                 1.2856,                0.90294,                 1.6372,              0.0004387,              0.0004387,              0.0004387
                    143,                 1.0209,                0.74458,                 1.4433,                0.92486,                0.70684,                0.72467,                0.52306,                 1.2409,                0.90115,                 1.6337,             0.00043163,             0.00043163,             0.00043163
